classe,caso,resultado,duracao_segundos
com.tripcontrol.util.ValidadoresTest,aceitaTelefoneValido(String)[2],PASSOU,0.0
com.tripcontrol.util.ValidadoresTest,aceitaTelefoneValido(String)[3],PASSOU,0.0
com.tripcontrol.util.ValidadoresTest,recusaTelefoneInvalido(String)[1],PASSOU,0.0
com.tripcontrol.util.ValidadoresTest,recusaTelefoneInvalido(String)[2],PASSOU,0.0
com.tripcontrol.util.ValidadoresTest,recusaTelefoneInvalido(String)[3],PASSOU,0.0
com.tripcontrol.repository.jdbc.FluxoItinerarioJdbcIT,fa03ForaDoPeriodo,PASSOU,0.011
com.tripcontrol.repository.jdbc.FluxoItinerarioJdbcIT,fa07DescartaRascunho,PASSOU,0.013
com.tripcontrol.repository.jdbc.FluxoItinerarioJdbcIT,detalhesSobrevivemAoBanco,PASSOU,0.012
com.tripcontrol.repository.jdbc.FluxoItinerarioJdbcIT,fa06SemItens,PASSOU,0.005
com.tripcontrol.repository.jdbc.FluxoItinerarioJdbcIT,bancoGaranteOTipoDoRecurso,PASSOU,0.007
com.tripcontrol.repository.jdbc.FluxoItinerarioJdbcIT,montaEReabreOCronograma,PASSOU,0.014
com.tripcontrol.repository.jdbc.FluxoItinerarioJdbcIT,fa04Conflito,PASSOU,0.006
com.tripcontrol.repository.jdbc.FluxoItinerarioJdbcIT,regravarNaoDuplica,PASSOU,0.011
com.tripcontrol.repository.jdbc.FluxoPagamentoJdbcIT,reservaPagamentoCancelamentoAtualizaVagas,PASSOU,0.056
com.tripcontrol.repository.jdbc.FluxoPagamentoJdbcIT,fa04ComprovanteDuplicado,PASSOU,0.024
com.tripcontrol.repository.jdbc.FluxoPagamentoJdbcIT,fa04ParcelaDuplicada,PASSOU,0.022
com.tripcontrol.repository.jdbc.FluxoPagamentoJdbcIT,alteraCapacidadeComValidacaoNoBanco,PASSOU,0.012
com.tripcontrol.repository.jdbc.FluxoPagamentoJdbcIT,fa05SaldoAlteradoPorOutroProcesso,PASSOU,0.025
com.tripcontrol.repository.jdbc.FluxoPagamentoJdbcIT,fa02ReservaCancelada,PASSOU,0.021
com.tripcontrol.repository.jdbc.FluxoPagamentoJdbcIT,bancoEJavaConcordamSobreASituacao,PASSOU,0.036
